sha256,description,application_purpose
FA26D4457A695CA8EECE2BDFDF616764B523524F56094976658982C3CC5B8F76,The application appears to be called when the menu be built.,"The application primarily serves advertising functionalities, utilizing various SDKs to manage multimedia playback, location services, and web content, especially in ad displays"
3E169ED78124322B2A5C666DDFD39ED2A95D43B5C57BB84E3ABE394FF2489307,The application appears to smoothly scroll the screen by the given point.,"The application appears to facilitate payment processing, user authentication, and location-based services, likely integrating with various SDKs such as Alipay and Tencent"
A5691DBB9E71FA5482111A1C8508836385D5022786DBE85DE4BCEE447429EB41,The application appears to set the value of the fee field.,"The application appears to be a communication and notification service, likely integrating features for push notifications, web content rendering, and user engagement through various APIs"
45147A1482968D8DC14471FFF057235DD09842E7DA9BE61D0958EEB2C728DEA1,The application appears to set the value of the component.,"The application appears to manage push notifications, user data, and network connectivity while integrating with third-party services for analytics and messaging"
C47FAC9CA0654679F5680E878DF2189B907143F31B69275C9AEE6F4FCC554C69,The application appears to create an instance of br.,"The application appears to be designed for web content rendering, network management, and user notifications, potentially integrating advertising functionalities"
8FA35F05C5A2E1149301C2F6AAAE5528E84B7ECF3DA94593A5ABEE7B3C3C6299,The application appears to initialize the network request object.,"The application appears to be a web-based platform, likely for e-commerce or online services, utilizing WebView components to display web content and manage user interactions"
79058796590225377C0C478F6C1F46DEC8902ADD50A7E97461D0F41FBD0F1763,The application appears to be used to implement the honeycomb interface.,"The application appears to facilitate web interactions, media playback, and network management, potentially targeting user authentication and data access"
76BC31138E0C919A90EE8BA61670CF921FBC14CF78A1C94C515D235FB9CACCEC,The application appears to return the next value in the range.,"The application appears to be a web browser (Tencent Browser) that facilitates internet browsing, downloads, and user notifications"
4B5802CFEB8CEBCA6721B1A66F7C903E6CDF2EBF5B6B9E38BE3C67249D730265,The application appears to set the drawable for the order.,"The application appears to facilitate mobile payments and financial transactions, leveraging various sensitive APIs for NFC, telephony, and network management"
58532F8ACA8D454932DDB4BA97F24D32B25792DC4298E487C5BD530B80B1A499,The application appears to reset the values of the biz table.,"The application appears to be a crash reporting tool utilizing the Bugly SDK, designed to collect and report application errors and performance metrics"
4AF11929518BDDBC783BFDD26A3891FCD7B8193E7307FE2B436880DE01FE79BD,The application appears to create a new instance of ru.,"The application appears to manage device settings and user interactions, particularly focusing on audio, Bluetooth, Wi-Fi, and web content display"
5CDC7C204A862A08ECA889ED2A0D729FA18DA3B164A82FCD36FF1118369A0340,The application appears to set the date type adapters.,"The application appears to facilitate payment processing, user authentication, and location-based services, leveraging various sensitive APIs to manage network connectivity, telephony, and web interactions"
333196B187127C35DEFF4CB240EF614CD9261889A98644363530F82AC7040EDC,The application appears to get the value of the rating.,"The application appears to be a web browser (Sogou mobile browser) that facilitates web content loading, navigation, and user interactions while managing sensitive permissions related to network access and user data"
F59C87979795676CBF10AA5C3C3C491F70C7ED0D284B65FF7549BB5983417BA7,The application appears to get the value of the rating in the range 0-100.,"The application appears to facilitate financial transactions, user authentication, and location-based services, likely integrating web content for payment processing and user interactions"
6D27AD04B560AA5A5CA8302EA15BE7D60B4518ADCE9C0B723946D5B7FE5EC0E9,The application appears to add the first element of the list to the front of the stack.,"The application appears to integrate various functionalities, including web content rendering, location tracking, and network management, likely aimed at providing user services such as navigation, social media interaction, and data synchronization"
13135C6F4936FBFD13984F859A60D303D653ABB480D52FF3290C545C2373080D,The application appears to set the value of the d property.,"The application appears to facilitate payment processing, user authentication, and location-based services, leveraging various sensitive APIs to manage web content, network connectivity, and telephony features"
4EEB104BF2ABA59F12221D40F6623CB49CEC085BEC9319A4629F7AB507F377BB,The application appears to set the qr code.,"The application appears to be designed for analytics and user tracking, utilizing various sensitive APIs to collect device identifiers, location data, and network information"
0ED25E9D82F3B09EBD52EEF8B78C2915824E4F4D4DBD1EB5A3B7196032A608DB,The application appears to set the backstack state to 0.,"The application appears to facilitate mobile payments and user authentication, leveraging various sensitive APIs for location tracking, network management, and user data handling"
7266DF94FB8F92C08E129E334978F3D0ECCA3DB2E54BFBAB6438D422E74918D5,The application appears to ·ÖĘýľÝ,"The application appears to facilitate financial transactions and web interactions, likely serving as a payment processing platform (e"
5D95427CE631D3E138DB78C9AA7D281F24C1C273428CA8C249C2029AC3EAEB19,The application appears to set the virtual view id of the hovered view.,"The application appears to facilitate web-based transactions, including payment processing and user authentication, while managing sensitive user data through various APIs"
36687F70F9C314C0816FDC2C8B6BCF0B4FD4F76AF85CD509E719EF25815C384A,The application appears to seek to a specific point.,"The application appears to facilitate web-based transactions, including payments and user authentication, while leveraging various sensitive APIs for location, network, and telephony functionalities"
1083FED1941985C9C23B6C44636D794DECECD51E0B28F4DB01A3E4E91A4417C3,The application appears to set the viewpager for this view.,"The application appears to facilitate online payments and user authentication, leveraging various sensitive APIs to manage user data and network interactions"
EC1F5DE91D968A75FCBA28AE5C2EF4A79AAEC1972A10BF644011FA3D4FA4E918,The application appears to set the values for the parameters.,"The application appears to primarily facilitate web content display, media playback, and ad management, leveraging various sensitive APIs to enhance user engagement and functionality"
E59EC538A5CAA9059AD4725D627758422D54EAF92635665BEEAE31A944194112,The application appears to ˝«µ±Ç°µÄ×î´óÖµÎŞżŐĘ±şň·µ»Ř¸ř¶¨°¨żÍ»§¶Ë°vÓĐĐňşĹ?Ł¬ČçąűÂĽ˛ÎĘýÔňĽĆËă·Ö×éÖĐÎ´µ×ÔŞËŘ±ľµŘ?,"The application appears to integrate various SDKs for ad management, media playback, and web content display, suggesting a primary focus on delivering advertisements and multimedia content to users"
1C6B5CDF066AF85AAB5B4E4AC028AD8B2FAB2C3328EB4487ECCBB851A5436161,The application appears to et the active state of the session.,"The application appears to be a multimedia or gaming app that integrates various functionalities, including audio playback, web content display, and location services"
8795C6A24626F2FE2A1962C9C02FC63C7C8A8D6DC130174EA1573913399ECC73,The application appears to set the value of the bfield property.,"The application appears to be designed for web content rendering, network management, and user interaction, potentially integrating advertising and analytics functionalities"
2FED370064E6CCB6E64014C5E55DEDE8F1B772B19AEC32694BE58CF3A3886472,The application appears to opens the tencent sdk.,"The application appears to facilitate online transactions, user authentication, and location-based services, leveraging web content through `WebView` and managing sensitive user data"
0BB995D535B156CBEB352446C0B2EC203979FA6EE1D748098C46A3963AEC91C7,The application appears to create a new actionmenuitemview with the given android.,"The application appears to integrate advertising functionalities, utilizing various APIs to manage user interactions, display ads, and collect sensitive user data for analytics"
70D9620044DA08EF29B5CC231C2AB5A99C95E407CA281A0AC367DB439BD55793,The application appears to be called when the view be clicked.,"The application appears to be designed for media playback, web content rendering, and location services, with functionalities that involve managing user interactions and permissions"
85102AB0ED73B88484109B25C4A934B7894181D635F30AF95603CC45358B9454,The application appears to return the index of the bottom-most item in the bottom menu.,"The application appears to manage network connectivity, display web content, and handle device power states, potentially for legitimate purposes such as notifications and background tasks"
FBDD30B8970A90CC8854016DF5A69C8B74558E1E443E3ECB3A95402402ACDA2C,The application appears to remove the listener from the list.,"The application appears to manage various device functionalities, including network connectivity, Bluetooth operations, and web content display, potentially for advertising or tracking purposes"
AF7BCA5E5C3A7167378D309862D38D2BB4A9AE6D3C146DF9F518911DF78951B7,The application appears to show the zpqdialog.,"The application appears to be designed for displaying web content, managing ads, and interacting with network resources, leveraging WebView and various network-related APIs"
07C1102956B997D772690640FF2B318C611FC28E8E8F283ED48654C0BD41BEA2,The application appears to initialize the sdk.,"The application appears to facilitate web content display, manage device connectivity, and handle background tasks, potentially for advertising or data collection purposes"
D6C72BD4ACA77277F59D194674716C722C14477A8E1042FC04CDB6CED4EB3E3A,The application appears to set the value of the value field to zero.,The application appears to integrate web content for functionalities such as payment processing and user interaction but raises concerns about insecure practices
1E1872D23848302DCF815DEBFC32601C4CD0AFCCAAF9C9C6AA4E30D412E3EA34,The application appears to send a 4-byte playback to the target.,"The application primarily functions as a media playback service, managing audio tracks, playlists, and user interactions while utilizing various sensitive permissions to maintain playback and respond to system events"
AE0BED8E8AE432FFE9B20393E0BC777F8DB43AC6F993918C9C0C8B3D19ACC200,The application appears to check if the matrix be 1.,"The application appears to manage web content, notifications, and device connectivity, potentially functioning as a web browser or a service manager"
22A45D4CB8E330B505B669D2C62B5300BD65F3CE1C1FEF7853B2800691A11248,The application appears to be used to repeat when a source subscribes.,"The application appears to be focused on analytics and user engagement, utilizing various sensitive APIs to gather data on device connectivity, location, and user interactions, likely for advertising or telemetry purposes"
B1908D38E44242EECE0CC1D11E51CF482400977F110D8210FF9C12D7365AF743,The application appears to set the client tab position to a new value.,"The application primarily serves analytics and tracking functionalities, utilizing SDKs like Adjust and Firebase for user interaction monitoring and data transmission"
864E5E2A769E478A6EC43A8A8CF0988488F50A5B7BA7ECFB94D8F88B78386103,The application appears to create a new glideexception with the given message and exception.,"The application appears to focus on managing device connectivity (Bluetooth, Wi-Fi, telephony) and accessing sensitive user data, potentially for data exfiltration or unauthorized monitoring"
051DDEDC9456FEA930F44FF0054614AED9DDA652D95B5F51567ED5F68CA118D3,The application appears to set the g3 code for this interstitialad.,"The application appears to be designed for web content display, media playback, and network connectivity management, potentially integrating advertisements and user interactions"
E148FD344275BE26600A3C46BD8E58922610D331AF273F9B841C1881417ED059,The application appears to invoke when a banner request be received.,"The application appears to integrate web content, manage media playback, and utilize sensitive device features such as Bluetooth and network connectivity, likely for advertising or tracking purposes"
1E83755D25D095732B89EDCEA8E0E24FC4896CDD89B25A5EB1D2AF5914037096,The application appears to set the android component.,"The application appears to facilitate payment processing and user authentication, likely within a financial or e-commerce context"
7B9B01EE1FB0D7E42C4A1C993D4FCB38D7673EEAFD6B1DD376F8B662579FBDEF,The application appears to reset the values of the elements.,"The application appears to facilitate financial transactions and user interactions through web content, leveraging various sensitive APIs for permissions related to network access, location, and user data"
2C153080FB59344F9F854AB925B9CF546DB0A9B5E4A53C612623E56641526DBC,The application appears to create a new instance of the nestedscrollview.,"The application appears to be an ad-supported platform that utilizes various sensitive APIs to manage user data, network connectivity, and media playback, potentially for tracking and monetization purposes"
515C686E363BC5BB3ED957DF803A010AE364C61EF92FE2A72A492026C28F61DC,The application appears to add a point to the explorer.,"The application appears to function as a web browser (Sogou mobile browser) with capabilities for web content rendering, network management, and user interaction handling"
1FDC1CE464E1EA34664DDA8ACAFA09B88BEEF6DC0D2E705270986A3A58E74883,The application appears to create a new systemwebview with the given android.,"The application appears to manage web content, notifications, and device connectivity, potentially offering features related to user engagement and background services"
0FB5D2FF050BC179B9E75EB6124AB09733C56AD4AB50DB1699DDC9CB977025C6,The application appears to ·˘ËÍ´¦Ŕí  @param request Ę§°Ü @return ĎěÓ¦,"The application appears to facilitate payment processing and web interactions, likely integrating with services such as Alipay, while managing sensitive user data"
246452DDEEAEDDC971391CEC5B34AE675A4496A95CBD300CD2E204A382EDFF8E,The application appears to łőĘĽ»Żbn,"The application appears to facilitate payment processing and user authentication, integrating web-based functionalities through WebView components and managing sensitive user data, including location and telephony information"
EA6B21193EF1FBBE5AA57F217EB7CAA79D688E4E04088C09C089926E187368EF,The application appears to set the notification to be displayed on the given android.,"The application appears to be designed for ad management and web content display, utilizing various sensitive APIs to enhance user experience through media playback, web interactions, and analytics"
4F32837956EE9A727C5A817945BF7EF8B321FFF54FE7B31A9BE05A14CAE6D10E,The application appears to return the number of items that can be scrolled horizontally.,"The application appears to focus on managing device settings, network connectivity, and user accounts, with functionalities related to SMS, media playback, and notifications"
1CE37709FA34EDC482EC4BD3C5B9E6A2D7D06EDF8FDD58D16FB635DF5DAB6795,The application appears to be deprecated.,"The application appears to facilitate payment processing and user interactions through web-based services, leveraging various sensitive APIs for location, camera, and network functionalities"
E01E97F7441047C0EF1B3394EE9C77D814436C3ECE11E0781FA9920228FB44DF,The application appears to open a file chooser.,"The application appears to be a web-based platform that utilizes various sensitive APIs to manage user interactions, network communications, and location services, likely for social media or messaging functionalities"
BFAFDA9E009DFF7BD32297E6891441C1701A8D7088436408B5933804C262246A,The application appears to set the position of the view.,"The application appears to provide web browsing functionalities through a WebView, facilitating interactions with web content and potentially performing actions like loading URLs, handling downloads, and managing cookies"
C083748C6CD536A9EE6BA734C031D6EE14341209ABB097AA76313418DCAE211A,The application appears to set the preemptive flag.,"The application appears to provide location-based services, network connectivity management, and media playback functionalities, potentially integrating with third-party SDKs for social media and payment processing"
39524827FF7B96D230133060A4B8116A343E90744ED27C7A05B2FE5A7ED41CC6,The application appears to post a result to the task.,"The application appears to facilitate payment processing and location-based services, integrating various functionalities such as video recording, web interactions, and Bluetooth connectivity"
EABDFB7CB9E85A6305BF892ED0779589A27490F7F95A27D7EA0E5055F29C2FEB,The application appears to return the md5 hash of the file.,"The application appears to function as a web browser, specifically the Sogou mobile browser, facilitating web content loading, user interactions, and network management"
9C64DDC5E111307174ECF3E53219AC23755B8FFACA759D4936C95108F4D6A761,The application appears to be called when the object be saved.,"The application appears to focus on media playback, network management, and telephony functionalities, potentially integrating features for communication, audio recording, and data management"
D7C443FF71D1A3814DD33CB2704274A7B83667ACE827C15D3F364800571E7F88,The application appears to check if the tbs library be the same as the core version of tbs.,"The application appears to facilitate online payments and financial transactions, leveraging web content rendering and sensitive data handling through various APIs"
AF0453E857603895C7AFFEE3754C7BB7D7D1D1B254FCF1E4125D22CF62C71B82,The application appears to set the space to be the specified attributes.,The application is designed to scan QR codes and manage Wi-Fi connections based on the scanned data
BE35B81CA1BE7F56686595F48364EAB3683E594EE7A9F0BCC0B45000233FDEB7,The application appears to seek to a specific point.,"The application appears to facilitate web-based transactions, including payment processing and user data management, leveraging various sensitive APIs to interact with web content and device resources"
C0A491E685AA273C188163B05CCBA58690584AB1A3A64F9F45A8BF9742182A04,The application appears to be called when the animation of a view start.,"The application appears to facilitate payment processing and location-based services, integrating various functionalities such as video/audio recording, web content display, and network management"
7C4A6A05832BA779495F701AD3456E6237F7A7F43B22E84C534CCEA89D3C4497,The application appears to ČˇµĂµ±Ç°ÓĂ»§µÄ˛ÎĘý,"The application appears to focus on audio management, voice communication, and potentially payment processing, utilizing various sensitive APIs for media playback and location services"
D5428DF3DCACAE965B40CCF44C694B42B37A6263323814747BAB7683371555C2,The application appears to ÉčÖĂÖ¸¶¨µÄµ±Ç°ÓĂ»§·ÖŇłĘÇ·ńżÉŇÔĎÔĘľ°´ŐŐÂĽ„tĘ±Ł¬ČçąűłÖ˛»´ćÔÚŁ¨Ôň·ĂÎĘÁĐ±í?Ł©,"The application appears to focus on multimedia playback, web content rendering, and ad serving, utilizing various sensitive APIs to manage audio, video, and network interactions"
B9F74637782AD49680AF1D27396984B9163718B530AA42D6127FAE63F3F12FD7,The application appears to apply a runnable to the view.,"The application appears to be designed for location-based services, audio management, and web content interaction, leveraging various sensitive APIs to enhance user experience"
3720E08AA44D54EEAA1975AE877523F7BBF0CC31BA330C73CBF981B0564907E4,The application appears to be called when a point be on the screen.,"The application appears to focus on user engagement through advertisements, rewards, and location-based services, utilizing various sensitive APIs to manage user data and interactions"
459A58150F21317077503CE13DC1C6798333630D3AD5989BAD3C6C4BDEEC2E2F,The application appears to be used to set up a linearlayoutmanager with a default size of 1.,"The application appears to serve multiple purposes including ad delivery, user engagement, and location-based services"
2EAB42F651D8374E0AC9C3EBA0DF17CC616BC40697E01B6D2251F19B83788B04,The application appears to set the second audio data.,"The application appears to be designed for web content rendering, media playback, and location services, utilizing various sensitive APIs to enhance user experience"
8AC5DA389900CD7AC3A58A68CF2E9C40A399E220EBC40C578ECBBE1CCA954F01,The application appears to set the values of the thread variables.,"The application appears to be a crash reporting tool, utilizing various sensitive APIs to gather device and network information, likely for analytics and error tracking"
E6DEBB759EA60B341CA6F591506152EE469C699C9148B1582E03DB007C627CDE,The application appears to telephone broadcast receiver.,"The application appears to facilitate multimedia playback, location tracking, and network management, integrating various functionalities such as video recording, web content display, and user interaction"
06AA8AA575CD7AE972189E95FFD8152C2A38862FA4E56911535B5741FAF1C528,The application appears to add a new fragment to the back stack.,"The application appears to focus on location services, network management, and web content handling, likely for user tracking, analytics, or advertising purposes"
53A7ED6AB47CE8CA460A7360FB40C4D50672BD5B2D5639CBC2BD86BD91A76A9B,The application appears to be called when the user clicks on the "where clause" in the view.,"The application appears to facilitate various functionalities, including media playback, location tracking, and network management, while integrating web content for user interactions, such as payments and authentication"
31CFDE0E857352DB144C98F117277C9CDA018B60C8464E07E12B3AB52AED3473,The application appears to be called when the bridge be unbound.,"The application appears to facilitate payment processing and web interactions, utilizing various sensitive APIs to manage user data, network connectivity, and NFC functionalities"
7A190C4978E716B1BBCFDDFC6CFEFC87230B979A42EA79949296BDC25722FE2A,The application appears to set the component to the top of the p3.,"The application appears to be a media player or interactive application that manages audio playback and user engagement, potentially in a gaming or multimedia context"
D0CCA468EE43EE6A5128847149F6AD281A796AEAB0D2E75933A486BCB1ACC503,The application appears to return an unmodifiable list of all loggers.,"The application appears to facilitate payment processing and user authentication through web interactions, leveraging various sensitive APIs for network connectivity, media playback, and telephony services"
4A660D058733BA43F6FF40F98F9711E1F42FFF578FDD3BE288E5D03EDDD50CE1,The application appears to get the zzcdn value for this lineitemsummary.,"The application appears to be designed for web content display and media playback, with functionalities related to ad management and user interaction"
92692E11F9584C557639033673B2F65A9F73F7677F80C688A3CE37B55F99169E,The application appears to create an absactionbarview with the given attributes.,"The application appears to be an ad-supported platform that integrates various SDKs for displaying advertisements, managing media playback, and accessing network and location services"
6464286338BE0F963DE9046A5F6D9FB82376EE3491EE52036D20F8047853EB14,The application appears to create a new arraymap instance with the specified capacity.,"The application appears to facilitate location-based services, network connectivity management, and user authentication through web interactions, leveraging various sensitive APIs"
85973DC015EDD2E78D354F40EC3D1F9FC52102138B1F05C86B93DFDE8839D851,The application appears to Ľě˛éĘýľÝĘÇ·ń×îşóŇ»¸öŐű”ł”´Đ§ąű  @param size Ăô»»”¶’Ë”µÉ˘”Ľ”¨˛¶ @return ĎÔĘľ”¤ľč,"The application appears to be an ad-supported platform that utilizes various multimedia functionalities, including video playback, web content display, and location services, likely for targeted advertising"
F6F7C37D3C8B26174F17EB2D86034819AC68F4D04901A228CDE62FFA9011B3EF,The application appears to be used to set the values of the webviewfragment.,"The application appears to facilitate payment processing and user interactions, likely integrating with various payment SDKs (e"
7E57A8DA68D48B711437814153390DE06E8757CA5FDCD41F1ECCAE5A07390DCD,The application appears to set the timeout in milliseconds.,"The application appears to facilitate network communication, manage web content, and handle notifications, likely serving as a messaging or push notification service"
5F63A5A9B3B5C9DCB7102CE0D8930510F1A21067C7034E13E6D09A001052024B,The application appears to use the sogou.,"The application appears to be a mobile browser (Sogou Mobile Explorer) with functionalities related to network management, user interface customization, and dynamic updates"
D0A23A00D5CB0C02BDDED1EB67CFA5B31D5A0335D328A042E6E918CE5BD3FD14,The application appears to return the default value for the sdk.,"The application appears to facilitate payment processing, user authentication, and media playback, leveraging various sensitive APIs for audio, video, and network functionalities"
3F57ED9EFC564681D801E3266D1E428ED2038FBA725DDDDF106E4EEEF378E785,The application appears to reset the sysupdateutil instance to the initial state.,"The application appears to be a location-based service that utilizes various sensitive APIs for location tracking, audio management, and network connectivity, potentially for advertising or user profiling"
1A6E08ADA04650508A6029556635DF70730A884201EA8D9E016334A474B9D86C,The application appears to set the height of the box.,"The application appears to be a media playback and streaming service, integrating various functionalities such as video playback, user authentication, and network management"
34E9583396F1E5C125DF5C7AA9C46527E3538FADF5C649823B4F199D3A5F0BFF,The application appears to ÉčÖĂČ«˛ż˛ÎĘý.,"The application appears to facilitate various functionalities, including media playback, location services, and network management, while integrating web content through WebView components"
7534E2BD0C1277FBAAFD9652FFB4AAC96F1D67F397CD35D8E8784D5E3B8D6B31,The application appears to return true if the thumb position be in the range 0-1056964608.,"The application appears to be designed for location tracking, media playback, and web content interaction, utilizing various sensitive APIs to enhance user experience"
1F3B31D38C2ECB3FE9069D78D6BAB73C01D7FD11900862F90049AD13DD5FFFEC,The application appears to set the component values.,"The application appears to focus on media playback, web content management, and advertising functionalities, utilizing various sensitive APIs to enhance user experience and interaction"
4A985C4FF72442A988C20596FD01B5995AEC95938D8606AADFCD6AC9C35F8A7B,The application appears to return the value of the rating in the range 0-100.,"The application appears to facilitate secure transactions and user authentication, likely within a financial context, such as mobile payments, leveraging web content through WebView components"
B99AE8A1E22CD123E6001EF7422A7868034E83181D43C4438B675BC02E8535E5,The application appears to set the second corner of the triangle.,"The application appears to be designed for managing web content, network connectivity, and device power states, potentially with functionalities related to notifications and background services"
0A40FF516DB1D275723B069971EAEDC6AA2AD27E640DC8B8BF981B952C30FD47,The application appears to set the parameter to the given view.,"The application appears to be designed for media playback, location services, and network management, utilizing various sensitive APIs to enhance user experience and functionality"
921D0511BF0E339393E829855A25736F9C371D5265C79C62E3F744A99AB3CE56,The application appears to shows the popup menu.,"The application appears to focus on user interactions, analytics, and network management, potentially involving payment processing and user tracking"
69FDF3A1F0586B335DB7FBBBA03F92B0A204256773D3C843DDE058CB0A179018,The application appears to set the response body size.,"The application appears to integrate various functionalities, including web content rendering, network management, and location services, likely aimed at enhancing user experience through web interactions and data retrieval"
D0748109A860E2E6446E9BDEBCDF6404CA6DD1A444C31ADD6E44050BA31184DE,The application appears to be the first point in the game scene.,"The application appears to facilitate network communication, SMS messaging, and potentially bypass device security features, suggesting it may be designed for gaming or messaging functionalities"
F35578E41E5104C4348A34A0E8CF2CD46670A523C3388C7B1F654AAA5DBE736B,The application appears to set the scale of a view to a specific value.,"The application appears to facilitate web content rendering, user authentication, and location-based services, integrating various third-party libraries for push notifications and analytics"
E66F70F302ABB366D4A5B299B6B555EE44A119A3FE6F9689DBE478874AEE0D63,The application appears to set the maximum number of stack and local variables for the current view.,"The application appears to be an ad SDK, primarily focused on rendering advertisements and managing user interactions, while leveraging various sensitive permissions for network access, location tracking, and device information"
BCAE866A08DDF420E1485ADCC0D5415C4A98180581E8CD8518209701F0741643,The application appears to invalidate this sprite.,"The application appears to facilitate web interactions, potentially involving user data collection and network communications"
ED393619F7B3D4B62A9B560279986017BBFDA8D8047C12DEAB7C9177F9BB1DA3,The application appears to set the values of the component.,"The application appears to be an ad SDK that integrates various functionalities, including media playback, web content rendering, and location-based services, while managing sensitive permissions"
E1CE4CE53F4BAEE270A0A9A9C61C389C5F1FDC618521C97853F5F10D32C1268E,The application appears to cancel a notification.,"The application appears to facilitate online payments and financial transactions, leveraging web-based functionalities through the Alipay SDK and other components"
8464B5F47F212A03525EDBE220A358EEEF9E10523B93D7368B02F22B37B79274,The application appears to delete all occurrences of the specified character.,"The application appears to facilitate payment processing and user authentication through web interactions, leveraging various sensitive APIs to manage network connectivity, telephony features, and web content"
9B7F2358F3DA715B8C7A37B14ECC15D96E087A1F740054E5E1A8C93AA4A59C61,The application appears to rule 6.,"The application appears to facilitate financial transactions, user authentication, and location-based services, leveraging various sensitive APIs to manage web content, SMS, and network connectivity"
AEBA118636615BC3A036A3161AF7F16033A6EB7B321AA67BEF94BEADF3258AAF,The application appears to convert a floating point value to a value in the range 0-100.,"The application appears to facilitate web-based transactions, including payment processing and user authentication, while leveraging various sensitive APIs for network and location services"
AD2CA80B00390BEB4C847E2002EAE652DCD3EECDE934ED14D95ED01729373957,The application appears to create a new transport mediator.,"The application appears to facilitate financial transactions and manage user data through web interactions, leveraging various sensitive APIs for payment processing, location services, and network management"
C529E48C8F24B3C04547D4D54D875CCF662EB7C6DAC1F9C735763F229FEC9A00,The application appears to set the seek bar to the progress of the given android.,"The application appears to perform various network-related functionalities, including SMS handling, media playback, and access to user location and account data"
3A2514563D6E92E4D8CA4F4AF499DD449F1ADD77DD6A0CE13B74062B2DBEE5F1,The application appears to be used to read a block of data from the stream.,"The application appears to focus on network management and user data handling, likely aimed at optimizing device performance or facilitating upgrades"
BC7B35738B6315020B414388C8AE497E4AA2D44896687EB0E8753AE5B87AD550,The application appears to ·ÖŇłÖ¸¶¨µ˝µ±Ç°µÄÍĽĆ¬°´ŐŐ˛ÎĘý,"The application appears to manage user accounts, synchronize data, and interact with network and telephony services, potentially for analytics or user tracking"
057809E3B42B8B7A4F437A8CDBED5F7B78DA66127794F8A9BF4F686693544BE3,The application appears to set the descriptor of the function.,"The application appears to manage updates and music playback, utilizing services and intents for inter-component communication"
9BA9AD408A114192254671B24B01AF7980F879F3962232389CCC835ACB87582A,The application appears to return a vector of size 3.,"The application appears to be an ad-supported platform utilizing various APIs to manage web content, video playback, and location services, likely for targeted advertising and user engagement"
A69605CF0369CFE883E004403352A48A55B73B4BDA1E7783212E259AC7371D56,The application appears to get the width and height of the current display in pixels.,"The application appears to facilitate various functionalities, including payment processing, user authentication, and location-based services, leveraging sensitive APIs for network and telephony operations"
3A66920DAC03FF7F7AE3A6C7A8DB9ECFF08AF68D66A040ABF776D5060D577BE2,The application appears to set the frustum to point 3.,"The application primarily manages push notifications and user data access, utilizing various sensitive APIs to retrieve information about network connectivity, user accounts, and location services"
442D3FB99A211111DDC64ED58AF40F9A2ACAFB57EC80E36723AC8457F3859E24,The application appears to set the tsig hmac-md5 signature of the message.,"The application appears to primarily serve as an ad management platform, utilizing various APIs to display advertisements, manage media playback, and access user location and network information"
90B4EA5B5B05D0651610E4F07BA3809BFA43A4BEE2CD96C5880A63E68FE75840,The application appears to be called when the page be first loaded.,"The application appears to facilitate video conferencing and network communication, utilizing various sensitive APIs for audio management, network connectivity, and service discovery"
D1DDFD14F87FCE144E16E3D2F3ED7F72A92D840A6B0DC77620F704DB6167AFD5,The application appears to subscribe to the source observable.,"The application appears to facilitate file downloading, notification management, and gRPC communication, potentially handling sensitive user data"
5ABAA68C979F7FA1933CF02B421D99E8109494C6038FD4EB3C9F4F338EDFD7AF,The application appears to set the values of the component.,"The application appears to primarily serve advertisements and web content through WebView components, utilizing media playback functionalities"
6114D2F202B3EE3A524BADD420BA3ACEAC95ECC41DE56538A3BE9BFDC579C5DC,The application appears to return true if the two points are less than the ones given.,"The application appears to facilitate file downloads, notifications, and error logging, potentially involving sensitive data handling and network operations"
EDDA95F68C0CDF9F4C13E4E35211B42666C014F2C0831210B59296071139F159,The application appears to return io.,"The application appears to focus on media playback and ad management, utilizing various APIs to handle video content and web interactions"
B3939D0E5857A2F382236B572FDF732A41DE13E24650DE43B5B826FB97A361F6,The application appears to check if the size of two images be better than the one given.,"The application appears to facilitate financial transactions, manage user notifications, and display web content, potentially integrating ad services and location-based functionalities"
F8D3648FD1FEE0B6C470574509EE013815CBD919CD1788BF2BC7C1147C08BC45,The application appears to set the second point of the curve.,"The application appears to facilitate web-based interactions, including payment processing, user authentication, and social media integration, leveraging various sensitive APIs to manage user data and network connectivity"
782BD210A89825DE20E211EE49066D5C1595CB1346658873FEAB600E032F0D92,The application appears to set the value of the aaxname3g field of this wifiendpoint.,"The application primarily serves as an ad delivery platform, integrating various ad SDKs to manage and display advertisements while interacting with web content through `WebView`"
ľů,,
